AAA;NTGA;Anaa Airport;Anaa, Tuamotus, French Polynesia
AAB;YARY;Arrabury Airport;Arrabury, Queensland, Australia
AAC;HEAR;El Arish International Airport;El Arish, Egypt
AAE;DABB;Rabah Bitat Airport (Les Salines Airport);Annaba, Algeria
AAF;KAAF;Apalachicola Regional Airport;Apalachicola, Florida, United States
AAG;SSYA;Arapoti Airport;Arapoti, Parana, Brazil
AAH;EDKA;Merzbruck Airport;Aachen, North Rhine-Westphalia, Germany
AAI;SWRA;Arraias Airport;Arraias, Tocantins, Brazil
AAJ;SMCA;Cayana Airstrip;Awaradam, Suriname
AAK;NGUK;Aranuka Airport;Aranuka, Kiribati
AAL;EKYT;Aalborg Airport;Aalborg, Denmark
AAM;FAMD;Mala Mala Airport;Mala Mala, South Africa
AAN;OMAL;Al Ain International Airport;Al Ain, United Arab Emirates
AAO;SVAN;Anaco Airport;Anaco, Venezuela
AAQ;URKA;Anapa Airport;Anapa, Krasnodar Krai, Russia
AAR;EKAH;Aarhus Airport;Aarhus, Denmark
AAS;;Apalapsili Airport;Apalapsili, Indonesia
AAT;ZWAT;Altay Airport;Altay, Xinjiang, China
AAU;NSAU;Asau Airport;Asau, Savai'i Island, Samoa
AAV;RPMA;Allah Valley Airport;Surallah, Philippines
AAX;SBAX;Araxa Airport;Araxa, Minas Gerais, Brazil
AAY;OYGD;Al Ghaydah Airport;Al Ghaydah, Yemen
AAZ;MGQZ;Quetzaltenango Airport;Quetzaltenango, Guatemala
ABA;UNAA;Abakan International Airport;Abakan, Republic of Khakassia, Russia
ABB;DNAS;Asaba International Airport;Asaba, Nigeria
ABC;LEAB;Albacete Airport;Albacete, Castilla-La Mancha, Spain
ABD;OIAA;Abadan Airport;Abadan, Iran
ABE;KABE;Lehigh Valley International Airport;Allentown, Pennsylvania, United States
ABF;NGAB;Abaiang Atoll Airport;Abaiang, Kiribati
ABG;YABI;Abingdon Airport;Abingdon, Queensland, Australia
ABH;YAPH;Alpha Airport;Alpha, Queensland, Australia
ABI;KABI;Abilene Regional Airport;Abilene, Texas, United States
ABJ;DIAP;Port Bouet Airport (Felix Houphouet Boigny Int'l);Abidjan, Cote d'Ivoire
ABK;HAKD;Kabri Dar Airport;Kebri Dahar, Ethiopia
ABL;PAFM;Ambler Airport (FAA: AFM);Ambler, Alaska, United States
ABM;YNPE;Northern Peninsula Airport;Bamaga, Queensland, Australia
ABN;SMBN;Albina Airstrip;Albina, Suriname
ABO;DIAO;Aboisso Airport;Aboisso, Cote d'Ivoire
ABP;;Atkamba Airport;Atkamba, Papua New Guinea
ABQ;KABQ;Albuquerque International Sunport;Albuquerque, New Mexico, United States
ABR;KABR;Aberdeen Regional Airport;Aberdeen, South Dakota, United States
ABS;HEBL;Abu Simbel Airport;Abu Simbel, Egypt
ABT;OEBA;Al-Baha Domestic Airport;Al-Baha, Saudi Arabia
ABU;WATA;Haliwen Airport;Atambua, Indonesia
ABV;DNAA;Nnamdi Azikiwe International Airport;Abuja, Nigeria
ABW;;Abau Airport;Abau, Papua New Guinea
ABX;YMAY;Albury Airport;Albury, New South Wales, Australia
ABY;KABY;Southwest Georgia Regional Airport;Albany, Georgia, United States
